"profile","task","commits","required_configuration","required_slots","tools","effect_verifiers","states","confirmation","channels","languages","gaps","execution_evidence"
"automotriz/taller","ask_question","false","business_identity | pipeline | faq_content | appointment_services","question:text:customer","search_faqs | search_knowledge_base","","answered > not_found > handed_off","none","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"automotriz/taller","book_appointment","true","business_identity | pipeline | faq_content | appointment_services","service_id:reference:tool | starts_at:datetime:customer | customer_name:text:customer","list_services | check_availability | create_appointment","appointments:appointments.contact_id","collecting > confirming > booked > handed_off","explicit","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"automotriz/taller","cancel_appointment","true","business_identity | pipeline | faq_content | appointment_services","appointment_id:reference:tool","list_customer_appointments | cancel_appointment | get_appointment_details","appointments:appointments.contact_id","identifying > confirming > cancelled > handed_off","explicit","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"automotriz/taller","open_repair_order","true","business_identity | pipeline | faq_content | appointment_services","vehicle_identity:text:customer | customer_concern:text:customer | customer_name:text:customer","create_repair_order","repair_orders:repair_orders.contact_id","collecting > confirming > intake > handed_off","explicit","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","positive_task_case_missing | profile_execution_evidence_missing","not_run"
"automotriz/taller","track_repair_order","false","business_identity | pipeline | faq_content | appointment_services","","list_my_repair_orders | get_repair_order","","listed > answered > not_found > handed_off","none","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"automotriz/taller","approve_repair_estimate","true","business_identity | pipeline | faq_content | appointment_services","repair_order_id:reference:tool | estimate_decision:boolean:customer","get_repair_order | approve_repair | list_my_repair_orders","repair_orders:repair_orders.contact_id","reading_estimate > confirming > approved > rejected > handed_off","explicit","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","positive_task_case_missing | profile_execution_evidence_missing","not_run"
"automotriz/taller","cancel_repair_order","true","business_identity | pipeline | faq_content | appointment_services","repair_order_id:reference:tool","get_repair_order | cancel_repair_order | list_my_repair_orders","repair_orders:repair_orders.contact_id","reading_order > confirming > cancelled > not_allowed > handed_off","explicit","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","positive_task_case_missing | profile_execution_evidence_missing","not_run"
"construccion/contratista_general","ask_question","false","business_identity | pipeline | faq_content","question:text:customer","search_faqs | search_knowledge_base","","answered > not_found > handed_off","none","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"education/capacitacion","ask_question","false","business_identity | pipeline | faq_content | appointment_services | courses","question:text:customer","search_faqs | search_knowledge_base","","answered > not_found > handed_off","none","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"education/capacitacion","book_appointment","true","business_identity | pipeline | faq_content | appointment_services | courses","service_id:reference:tool | starts_at:datetime:customer | customer_name:text:customer","list_services | check_availability | create_appointment","appointments:appointments.contact_id","collecting > confirming > booked > handed_off","explicit","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"education/capacitacion","cancel_appointment","true","business_identity | pipeline | faq_content | appointment_services | courses","appointment_id:reference:tool","list_customer_appointments | cancel_appointment | get_appointment_details","appointments:appointments.contact_id","identifying > confirming > cancelled > handed_off","explicit","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"education/capacitacion","enrol_student","true","business_identity | pipeline | faq_content | appointment_services | courses","course_id:reference:tool | student_name:text:customer | customer_name:text:customer","get_courses | get_course_schedule | enroll_student","enrollments:enrollments.contact_id","collecting > confirming > enrolled > handed_off","explicit","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"education/idiomas","ask_question","false","business_identity | pipeline | faq_content | appointment_services | courses","question:text:customer","search_faqs | search_knowledge_base","","answered > not_found > handed_off","none","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"education/idiomas","book_appointment","true","business_identity | pipeline | faq_content | appointment_services | courses","service_id:reference:tool | starts_at:datetime:customer | customer_name:text:customer","list_services | check_availability | create_appointment","appointments:appointments.contact_id","collecting > confirming > booked > handed_off","explicit","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"education/idiomas","cancel_appointment","true","business_identity | pipeline | faq_content | appointment_services | courses","appointment_id:reference:tool","list_customer_appointments | cancel_appointment | get_appointment_details","appointments:appointments.contact_id","identifying > confirming > cancelled > handed_off","explicit","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"education/idiomas","enrol_student","true","business_identity | pipeline | faq_content | appointment_services | courses","course_id:reference:tool | student_name:text:customer | customer_name:text:customer","get_courses | get_course_schedule | enroll_student","enrollments:enrollments.contact_id","collecting > confirming > enrolled > handed_off","explicit","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"education/online","ask_question","false","business_identity | pipeline | faq_content | appointment_services | courses","question:text:customer","search_faqs | search_knowledge_base","","answered > not_found > handed_off","none","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"education/online","book_appointment","true","business_identity | pipeline | faq_content | appointment_services | courses","service_id:reference:tool | starts_at:datetime:customer | customer_name:text:customer","list_services | check_availability | create_appointment","appointments:appointments.contact_id","collecting > confirming > booked > handed_off","explicit","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"education/online","cancel_appointment","true","business_identity | pipeline | faq_content | appointment_services | courses","appointment_id:reference:tool","list_customer_appointments | cancel_appointment | get_appointment_details","appointments:appointments.contact_id","identifying > confirming > cancelled > handed_off","explicit","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"education/online","enrol_student","true","business_identity | pipeline | faq_content | appointment_services | courses","course_id:reference:tool | student_name:text:customer | customer_name:text:customer","get_courses | get_course_schedule | enroll_student","enrollments:enrollments.contact_id","collecting > confirming > enrolled > handed_off","explicit","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"education/universitaria","ask_question","false","business_identity | pipeline | faq_content | appointment_services | courses","question:text:customer","search_faqs | search_knowledge_base","","answered > not_found > handed_off","none","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"education/universitaria","book_appointment","true","business_identity | pipeline | faq_content | appointment_services | courses","service_id:reference:tool | starts_at:datetime:customer | customer_name:text:customer","list_services | check_availability | create_appointment","appointments:appointments.contact_id","collecting > confirming > booked > handed_off","explicit","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"education/universitaria","cancel_appointment","true","business_identity | pipeline | faq_content | appointment_services | courses","appointment_id:reference:tool","list_customer_appointments | cancel_appointment | get_appointment_details","appointments:appointments.contact_id","identifying > confirming > cancelled > handed_off","explicit","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"education/universitaria","enrol_student","true","business_identity | pipeline | faq_content | appointment_services | courses","course_id:reference:tool | student_name:text:customer | customer_name:text:customer","get_courses | get_course_schedule | enroll_student","enrollments:enrollments.contact_id","collecting > confirming > enrolled > handed_off","explicit","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"event_planning/weddings","ask_question","false","business_identity | pipeline | faq_content","question:text:customer","search_faqs | search_knowledge_base","","answered > not_found > handed_off","none","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"finanzas/asesoria","ask_question","false","business_identity | pipeline | faq_content | appointment_services","question:text:customer","search_faqs | search_knowledge_base","","answered > not_found > handed_off","none","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"finanzas/asesoria","book_appointment","true","business_identity | pipeline | faq_content | appointment_services","service_id:reference:tool | starts_at:datetime:customer | customer_name:text:customer","list_services | check_availability | create_appointment","appointments:appointments.contact_id","collecting > confirming > booked > handed_off","explicit","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"finanzas/asesoria","cancel_appointment","true","business_identity | pipeline | faq_content | appointment_services","appointment_id:reference:tool","list_customer_appointments | cancel_appointment | get_appointment_details","appointments:appointments.contact_id","identifying > confirming > cancelled > handed_off","explicit","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"finanzas/creditos","ask_question","false","business_identity | pipeline | faq_content | appointment_services","question:text:customer","search_faqs | search_knowledge_base","","answered > not_found > handed_off","none","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"finanzas/creditos","book_appointment","true","business_identity | pipeline | faq_content | appointment_services","service_id:reference:tool | starts_at:datetime:customer | customer_name:text:customer","list_services | check_availability | create_appointment","appointments:appointments.contact_id","collecting > confirming > booked > handed_off","explicit","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"finanzas/creditos","cancel_appointment","true","business_identity | pipeline | faq_content | appointment_services","appointment_id:reference:tool","list_customer_appointments | cancel_appointment | get_appointment_details","appointments:appointments.contact_id","identifying > confirming > cancelled > handed_off","explicit","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"finanzas/pagos_recaudos","ask_question","false","business_identity | pipeline | faq_content","question:text:customer","search_faqs | search_knowledge_base","","answered > not_found > handed_off","none","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"fotografia/bodas","ask_question","false","business_identity | pipeline | faq_content | photo_sessions","question:text:customer","search_faqs | search_knowledge_base","","answered > not_found > handed_off","none","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"fotografia/bodas","request_photo_quote","true","business_identity | pipeline | faq_content | photo_sessions","event_date:date:customer | customer_name:text:customer","list_photo_packages | check_date_availability | request_photo_quote","photo_sessions:photo_sessions.contact_id","collecting > quoted > handed_off","explicit","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","positive_task_case_missing | profile_execution_evidence_missing","not_run"
"fotografia/estudio","ask_question","false","business_identity | pipeline | faq_content | photo_sessions","question:text:customer","search_faqs | search_knowledge_base","","answered > not_found > handed_off","none","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"fotografia/estudio","request_photo_quote","true","business_identity | pipeline | faq_content | photo_sessions","event_date:date:customer | customer_name:text:customer","list_photo_packages | check_date_availability | request_photo_quote","photo_sessions:photo_sessions.contact_id","collecting > quoted > handed_off","explicit","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","positive_task_case_missing | profile_execution_evidence_missing","not_run"
"fotografia/eventos","ask_question","false","business_identity | pipeline | faq_content | photo_sessions","question:text:customer","search_faqs | search_knowledge_base","","answered > not_found > handed_off","none","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"fotografia/eventos","request_photo_quote","true","business_identity | pipeline | faq_content | photo_sessions","event_date:date:customer | customer_name:text:customer","list_photo_packages | check_date_availability | request_photo_quote","photo_sessions:photo_sessions.contact_id","collecting > quoted > handed_off","explicit","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","positive_task_case_missing | profile_execution_evidence_missing","not_run"
"fotografia/producto","ask_question","false","business_identity | pipeline | faq_content | photo_sessions","question:text:customer","search_faqs | search_knowledge_base","","answered > not_found > handed_off","none","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"fotografia/producto","request_photo_quote","true","business_identity | pipeline | faq_content | photo_sessions","event_date:date:customer | customer_name:text:customer","list_photo_packages | check_date_availability | request_photo_quote","photo_sessions:photo_sessions.contact_id","collecting > quoted > handed_off","explicit","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","positive_task_case_missing | profile_execution_evidence_missing","not_run"
"gimnasios/crossfit","ask_question","false","business_identity | pipeline | faq_content | appointment_services | membership_plans","question:text:customer","search_faqs | search_knowledge_base","","answered > not_found > handed_off","none","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"gimnasios/crossfit","book_appointment","true","business_identity | pipeline | faq_content | appointment_services | membership_plans","service_id:reference:tool | starts_at:datetime:customer | customer_name:text:customer","list_services | check_availability | create_appointment","appointments:appointments.contact_id","collecting > confirming > booked > handed_off","explicit","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"gimnasios/crossfit","cancel_appointment","true","business_identity | pipeline | faq_content | appointment_services | membership_plans","appointment_id:reference:tool","list_customer_appointments | cancel_appointment | get_appointment_details","appointments:appointments.contact_id","identifying > confirming > cancelled > handed_off","explicit","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"gimnasios/crossfit","book_class","true","business_identity | pipeline | faq_content | appointment_services | membership_plans","class_id:reference:tool","get_class_schedule | get_my_membership | book_class","class_bookings:class_bookings.contact_id","collecting > confirming > booked > handed_off","explicit","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"gimnasios/cycling","ask_question","false","business_identity | pipeline | faq_content | appointment_services | membership_plans","question:text:customer","search_faqs | search_knowledge_base","","answered > not_found > handed_off","none","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"gimnasios/cycling","book_appointment","true","business_identity | pipeline | faq_content | appointment_services | membership_plans","service_id:reference:tool | starts_at:datetime:customer | customer_name:text:customer","list_services | check_availability | create_appointment","appointments:appointments.contact_id","collecting > confirming > booked > handed_off","explicit","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"gimnasios/cycling","cancel_appointment","true","business_identity | pipeline | faq_content | appointment_services | membership_plans","appointment_id:reference:tool","list_customer_appointments | cancel_appointment | get_appointment_details","appointments:appointments.contact_id","identifying > confirming > cancelled > handed_off","explicit","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"gimnasios/cycling","book_class","true","business_identity | pipeline | faq_content | appointment_services | membership_plans","class_id:reference:tool","get_class_schedule | get_my_membership | book_class","class_bookings:class_bookings.contact_id","collecting > confirming > booked > handed_off","explicit","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"gimnasios/gimnasio_general","ask_question","false","business_identity | pipeline | faq_content | appointment_services | membership_plans","question:text:customer","search_faqs | search_knowledge_base","","answered > not_found > handed_off","none","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"gimnasios/gimnasio_general","book_appointment","true","business_identity | pipeline | faq_content | appointment_services | membership_plans","service_id:reference:tool | starts_at:datetime:customer | customer_name:text:customer","list_services | check_availability | create_appointment","appointments:appointments.contact_id","collecting > confirming > booked > handed_off","explicit","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"gimnasios/gimnasio_general","cancel_appointment","true","business_identity | pipeline | faq_content | appointment_services | membership_plans","appointment_id:reference:tool","list_customer_appointments | cancel_appointment | get_appointment_details","appointments:appointments.contact_id","identifying > confirming > cancelled > handed_off","explicit","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"gimnasios/gimnasio_general","book_class","true","business_identity | pipeline | faq_content | appointment_services | membership_plans","class_id:reference:tool","get_class_schedule | get_my_membership | book_class","class_bookings:class_bookings.contact_id","collecting > confirming > booked > handed_off","explicit","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"gimnasios/martial_arts","ask_question","false","business_identity | pipeline | faq_content | appointment_services | membership_plans","question:text:customer","search_faqs | search_knowledge_base","","answered > not_found > handed_off","none","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"gimnasios/martial_arts","book_appointment","true","business_identity | pipeline | faq_content | appointment_services | membership_plans","service_id:reference:tool | starts_at:datetime:customer | customer_name:text:customer","list_services | check_availability | create_appointment","appointments:appointments.contact_id","collecting > confirming > booked > handed_off","explicit","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"gimnasios/martial_arts","cancel_appointment","true","business_identity | pipeline | faq_content | appointment_services | membership_plans","appointment_id:reference:tool","list_customer_appointments | cancel_appointment | get_appointment_details","appointments:appointments.contact_id","identifying > confirming > cancelled > handed_off","explicit","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"gimnasios/martial_arts","book_class","true","business_identity | pipeline | faq_content | appointment_services | membership_plans","class_id:reference:tool","get_class_schedule | get_my_membership | book_class","class_bookings:class_bookings.contact_id","collecting > confirming > booked > handed_off","explicit","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"gimnasios/yoga_pilates","ask_question","false","business_identity | pipeline | faq_content | appointment_services | membership_plans","question:text:customer","search_faqs | search_knowledge_base","","answered > not_found > handed_off","none","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"gimnasios/yoga_pilates","book_appointment","true","business_identity | pipeline | faq_content | appointment_services | membership_plans","service_id:reference:tool | starts_at:datetime:customer | customer_name:text:customer","list_services | check_availability | create_appointment","appointments:appointments.contact_id","collecting > confirming > booked > handed_off","explicit","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"gimnasios/yoga_pilates","cancel_appointment","true","business_identity | pipeline | faq_content | appointment_services | membership_plans","appointment_id:reference:tool","list_customer_appointments | cancel_appointment | get_appointment_details","appointments:appointments.contact_id","identifying > confirming > cancelled > handed_off","explicit","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"gimnasios/yoga_pilates","book_class","true","business_identity | pipeline | faq_content | appointment_services | membership_plans","class_id:reference:tool","get_class_schedule | get_my_membership | book_class","class_bookings:class_bookings.contact_id","collecting > confirming > booked > handed_off","explicit","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"inmobiliaria/arriendo","ask_question","false","business_identity | pipeline | faq_content | appointment_services | listings","question:text:customer","search_faqs | search_knowledge_base","","answered > not_found > handed_off","none","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"inmobiliaria/arriendo","book_appointment","true","business_identity | pipeline | faq_content | appointment_services | listings","service_id:reference:tool | starts_at:datetime:customer | customer_name:text:customer","list_services | check_availability | create_appointment","appointments:appointments.contact_id","collecting > confirming > booked > handed_off","explicit","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"inmobiliaria/arriendo","cancel_appointment","true","business_identity | pipeline | faq_content | appointment_services | listings","appointment_id:reference:tool","list_customer_appointments | cancel_appointment | get_appointment_details","appointments:appointments.contact_id","identifying > confirming > cancelled > handed_off","explicit","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"inmobiliaria/arriendo","find_listing","false","business_identity | pipeline | faq_content | appointment_services | listings","operation:enum:customer","search_listings | get_listing_details | send_listing_image","","listed > empty > handed_off","none","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"inmobiliaria/comercial","ask_question","false","business_identity | pipeline | faq_content | appointment_services | listings","question:text:customer","search_faqs | search_knowledge_base","","answered > not_found > handed_off","none","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"inmobiliaria/comercial","book_appointment","true","business_identity | pipeline | faq_content | appointment_services | listings","service_id:reference:tool | starts_at:datetime:customer | customer_name:text:customer","list_services | check_availability | create_appointment","appointments:appointments.contact_id","collecting > confirming > booked > handed_off","explicit","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"inmobiliaria/comercial","cancel_appointment","true","business_identity | pipeline | faq_content | appointment_services | listings","appointment_id:reference:tool","list_customer_appointments | cancel_appointment | get_appointment_details","appointments:appointments.contact_id","identifying > confirming > cancelled > handed_off","explicit","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"inmobiliaria/comercial","find_listing","false","business_identity | pipeline | faq_content | appointment_services | listings","operation:enum:customer","search_listings | get_listing_details | send_listing_image","","listed > empty > handed_off","none","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"inmobiliaria/promotora","ask_question","false","business_identity | pipeline | faq_content","question:text:customer","search_faqs | search_knowledge_base","","answered > not_found > handed_off","none","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"inmobiliaria/venta","ask_question","false","business_identity | pipeline | faq_content | appointment_services | listings","question:text:customer","search_faqs | search_knowledge_base","","answered > not_found > handed_off","none","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"inmobiliaria/venta","book_appointment","true","business_identity | pipeline | faq_content | appointment_services | listings","service_id:reference:tool | starts_at:datetime:customer | customer_name:text:customer","list_services | check_availability | create_appointment","appointments:appointments.contact_id","collecting > confirming > booked > handed_off","explicit","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"inmobiliaria/venta","cancel_appointment","true","business_identity | pipeline | faq_content | appointment_services | listings","appointment_id:reference:tool","list_customer_appointments | cancel_appointment | get_appointment_details","appointments:appointments.contact_id","identifying > confirming > cancelled > handed_off","explicit","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"inmobiliaria/venta","find_listing","false","business_identity | pipeline | faq_content | appointment_services | listings","operation:enum:customer","search_listings | get_listing_details | send_listing_image","","listed > empty > handed_off","none","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"moda_belleza/barberia","ask_question","false","business_identity | pipeline | faq_content | appointment_services","question:text:customer","search_faqs | search_knowledge_base","","answered > not_found > handed_off","none","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"moda_belleza/barberia","book_appointment","true","business_identity | pipeline | faq_content | appointment_services","service_id:reference:tool | starts_at:datetime:customer | customer_name:text:customer","list_services | check_availability | create_appointment","appointments:appointments.contact_id","collecting > confirming > booked > handed_off","explicit","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"moda_belleza/barberia","cancel_appointment","true","business_identity | pipeline | faq_content | appointment_services","appointment_id:reference:tool","list_customer_appointments | cancel_appointment | get_appointment_details","appointments:appointments.contact_id","identifying > confirming > cancelled > handed_off","explicit","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"moda_belleza/estetica","ask_question","false","business_identity | pipeline | faq_content | appointment_services | treatment_catalog","question:text:customer","search_faqs | search_knowledge_base","","answered > not_found > handed_off","none","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
