vertical,subtipo,grupos_verticales_actuales,contexto_activo,writer_principal,menu_operativo,cohesion_5,estado,brecha_principal,alertas
inmobiliaria,arriendo,appointments|realEstate,appointment,create_appointment,Agenda|Inmuebles,2,parcial,"Sin solicitud/lease/screening/depósito; visita genérica no cierra arriendo","CTX WRITE SOR DATA"
inmobiliaria,comercial,appointments|realEstate,appointment,create_appointment,Agenda|Inmuebles,2,parcial,"Modelo residencial; sin zoning/NOI/comps/deal room y sin objeto listing vivo","CTX WRITE SOR DATA"
inmobiliaria,construccion,appointments|realEstate,appointment,create_appointment,Agenda|Inmuebles,1,incoherente,"Toolset de inmueble no distingue promotor de proyecto nuevo vs contratista/obra","STOP PROMPT WRITE SOR"
restaurantes,casual_dining,appointments|restaurants,appointment|food_order,create_appointment|place_order,Agenda|Menu|Pedidos,2,parcial,"Reserva de mesa usa agenda genérica; sin mesa/turno/waitlist/POS/capacidad real","SOR DATA UI"
restaurantes,comida_rapida,restaurants,food_order,place_order,Menu|Pedidos,3,util_parcial,"Flujo pedido cierra; faltan POS/KDS/ETA/pago/modificadores y prioridad de fuente externa","SOR LIVE PAY INTEGRATION"
restaurantes,cafeteria,appointments|restaurants,appointment|food_order,create_appointment|place_order,Agenda|Menu|Pedidos,2,ambiguo,"No distingue mesa de pickup/delivery; sin variantes/loyalty/hora de retiro","PROMPT DATA SOR"
restaurantes,dark_kitchen,restaurants,food_order,place_order,Menu|Pedidos,3,util_parcial,"Faltan multibrand/agregadores/POS/KDS/dispatch/ETA/pago","SOR LIVE PAY INTEGRATION"
automotriz,concesionario,appointments|vehicles,appointment,create_appointment|schedule_test_drive,Agenda|Vehiculos,2,parcial,"Test drive existe; sin DMS/F&I/trade-in/cotización/unidad activa entre turnos","CTX SOR DATA PAY"
automotriz,taller,appointments|vehicles,appointment,create_appointment|schedule_test_drive,Agenda|Vehiculos,1,incoherente,"Prompt habla de servicio pero tools cierran cita/test drive; no hay orden de trabajo/estimate/bahía/técnico","STOP PROMPT WRITE SOR"
automotriz,repuestos,catalog,order_if_orders_toggle,place_catalog_order,Inventario|Pedidos,2,parcial,"Sin VIN/motor/OEM/compatibilidad verificada/devolución; contexto pedido depende de toggle horizontal","CTX SOR DATA"
automotriz,alquiler,vehicles,none,schedule_test_drive_no_aplica,Vehiculos|Alquileres,1,callejon_sin_salida,"Capability y UI de rental existen pero no create_vehicle_rental; tools de vehículo retienen test drive","WRITE CTX PROMPT UI"
turismo,agencia_viajes,tours,tour_booking,create_tour_booking,Tours_con_reservas_anidadas,2,parcial,"Booking de paquete cierra pero falta itinerario/GDS/proveedor/quote versionada y registro global accesible","UI SOR LIVE PAY"
turismo,hotel,properties,property_booking,create_property_booking,Propiedades_con_reservas_anidadas,2,backend_util_ui_incoherente,"Tools de estadía cierran; prompt de paquetes y falso Pipeline/Reservas; sin PMS/rates/folios/operación global","UI PROMPT SOR LIVE"
turismo,tours,tours,tour_booking,create_tour_booking,Tours_con_reservas_anidadas,3,util_parcial,"Falta registro global/manifest/waiver/pickup/pago y fuente de capacidad integrada","UI SOR DATA PAY"
turismo,alquiler_vacacional,properties,property_booking,create_property_booking,Propiedades_con_reservas_anidadas,2,backend_util_ui_incoherente,"Reserva existe en backend/móvil; web obliga abrir propiedad y Pipeline es Kanban CRM; falta calendario/llegadas/tareas/pagos globales","UI PROMPT SOR LIVE"
education,idiomas,appointments|education,appointment,create_appointment|enroll_student,Agenda|Cursos,2,parcial,"Inscripción cierra pero enrollment no es objeto activo; sin nivel/cohorte/recurrencia/progreso/LMS","CTX SOR DATA"
education,universitaria,appointments|education,appointment,create_appointment|enroll_student,Agenda|Cursos,1,incompleto,"Tools de curso simples no cubren admisión/programa/documentos/deadlines/SIS","CTX SOR REG DATA"
education,online,appointments|education,appointment,create_appointment|enroll_student,Agenda|Cursos,1,incompleto,"Sin acceso LMS/progreso/certificado/suscripción/soporte de cuenta","CTX SOR WRITE"
education,capacitacion,appointments|education,appointment,create_appointment|enroll_student,Agenda|Cursos,1,incompleto,"Sin inscripción masiva/empresa/PO/asistencia/certificados/instructor","CTX SOR DATA"
finanzas,asesoria,appointments,appointment,create_appointment,Agenda,1,horizontal_regulado,"No hay tools financieras; prompt mezcla crédito/seguro y carece suitability/jurisdicción/SoR","STOP REG SOR PROMPT"
finanzas,fintech,appointments,appointment,create_appointment,Agenda,0,indefinido,"Subtipo no define wallet/pagos/crédito/banca/inversión; ninguna tool horizontal puede ser segura","STOP REG SOR PROMPT"
finanzas,creditos,appointments,appointment,create_appointment,Agenda,1,horizontal_regulado,"Solo intake/cita; sin producto/tasa sourced/documentos/KYC/decisionado/handoff regulado","STOP REG SOR DATA"
servicios_profesionales,abogados,appointments|professionalServices,appointment,create_appointment,Agenda_sin_Casos,1,parcial,"get_case_status existe sin página de casos; sin conflict check/intake seguro/documentos","UI SOR REG CTX"
servicios_profesionales,contadores,appointments|professionalServices,appointment,create_appointment,Agenda_sin_Casos,1,incoherente,"Hereda tool/prompt de caso legal; sin periodo fiscal/documentos/contabilidad/nómina/SoR","PROMPT SOR DATA UI"
servicios_profesionales,arquitectos,appointments|professionalServices,appointment,create_appointment,Agenda_sin_Proyectos,1,incoherente,"Hereda caso legal; sin proyecto/predio/planos/BIM/licencia/entregables","PROMPT SOR DATA UI"
servicios_profesionales,consultores,appointments|professionalServices,appointment,create_appointment,Agenda_sin_Proyectos,1,incoherente,"Hereda caso legal; sin engagement/SOW/entregables/procurement/data room","PROMPT SOR DATA UI"
retail,moda,catalog,order_if_orders_toggle,place_catalog_order,Inventario|Pedidos,2,parcial,"Faltan variantes/tallas/fit/cambios/fulfillment/pago; order context depende de configuración horizontal","CTX SOR PAY DATA"
retail,electronica,catalog,order_if_orders_toggle,place_catalog_order,Inventario|Pedidos,2,parcial,"Faltan compatibilidad/serial/garantía/voltaje/accesorios y política sourced","CTX SOR DATA"
retail,hogar,catalog,order_if_orders_toggle,place_catalog_order,Inventario|Pedidos,2,parcial,"Faltan dimensiones/armado/acceso de entrega/lead time/devolución sourced","CTX SOR DATA"
retail,marketplace,catalog,order_if_orders_toggle,place_catalog_order,Inventario|Pedidos,1,modelo_equivocado,"Toolset es comercio único; sin sellers/comisión/payout/fulfillment/disputa/multivendor","STOP SOR WRITE PROMPT"
technology,saas,appointments,appointment,create_appointment,Agenda,1,horizontal,"Sin workspace/tenant/plan/seats/integraciones/SSO/SLA/soporte de cuenta","SOR DATA PROMPT"
technology,consultoria_ti,appointments,appointment,create_appointment,Agenda,1,horizontal,"Sin assessment/activo/ticket/proyecto/stack/seguridad/SoR","SOR DATA PROMPT"
technology,desarrollo,appointments,appointment,create_appointment,Agenda,1,horizontal,"Sin alcance/backlog/sprint/entregable/QA/deploy/contrato","SOR DATA PROMPT"
technology,hardware,catalog,order_if_orders_toggle,place_catalog_order,Inventario|Pedidos,2,parcial,"Sin compatibilidad/serial/instalación/RMA/garantía; identidad sales genérica","CTX SOR DATA PROMPT"
veterinaria,clinica_general,appointments|pets,appointment,create_appointment|register_pet|update_pet,Agenda|Mascotas,2,parcial,"Pet record y vacunación no permanecen activos; sin PIMS/consentimiento/recursos clínicos","CTX SOR REG DATA"
veterinaria,hospital_24h,appointments|pets,appointment,create_appointment|triage_pet_emergency,Agenda|Mascotas,2,riesgo,"Triage existe pero sin ER/inpatient/cola/ETA/referral/deposito y sin SLA verificado","CTX SOR REG LIVE"
veterinaria,exoticos,appointments|pets,appointment,create_appointment|register_pet,Agenda|Mascotas,1,incompleto,"Modelo y prompt asumen perro/gato; sin especies/husbandry/especialista exóticos","PROMPT SOR DATA"
veterinaria,peluqueria_canina,appointments|pets,appointment,create_appointment|register_pet,Agenda|Mascotas,1,misclasificado,"Hereda flujo clínico; debería usar grooming/recursos/precio/vacunas sin medicalizar","PROMPT DATA UI"
gimnasios,gimnasio_general,appointments|gyms,appointment,create_appointment|book_class|freeze_membership,Agenda|Membresias|Clases,2,util_parcial,"Tools cubren happy path; membresía/clase no son objetos activos y faltan pagos/acceso/contrato","CTX SOR PAY"
gimnasios,crossfit,appointments|gyms,appointment,create_appointment|book_class|freeze_membership,Agenda|Membresias|Clases,2,util_parcial,"Sin on-ramp/drop-in/scaling/créditos; mismo toolset genérico","CTX DATA PROMPT"
gimnasios,yoga_pilates,appointments|gyms,appointment,create_appointment|book_class|freeze_membership,Agenda|Membresias|Clases,2,util_parcial,"No modela mat/reformer/spot/equipo/prenatal/paquete","CTX DATA PROMPT"
gimnasios,cycling,appointments|gyms,appointment,create_appointment|book_class|freeze_membership,Agenda|Membresias|Clases,2,util_parcial,"No modela bike/spot/configuración/calzado; falta selección de puesto","CTX DATA PROMPT"
gimnasios,martial_arts,appointments|gyms,appointment,create_appointment|book_class|freeze_membership,Agenda|Membresias|Clases,2,util_parcial,"No modela disciplina/rango/edad/equipo/grupos; mismo flujo de clase","CTX DATA PROMPT"
seguros,broker,insurance,none,calculate_quote|file_claim,Seguros,2,riesgo,"Quote simplista y sin carrier/rating/commission disclosure; policy/claim no son objetos activos","CTX SOR REG DATA"
seguros,aseguradora,insurance,none,calculate_quote|file_claim,Seguros,1,modelo_equivocado,"Toolset de cotizador/broker no sustituye PAS/billing/underwriting/claims de carrier","STOP SOR REG WRITE"
seguros,vida,insurance,none,calculate_quote|file_claim,Seguros,1,regulado_incompleto,"Sin underwriting/disclosures/beneficiarios seguros; quote no representa vida","CTX SOR REG DATA"
seguros,auto,insurance,none,calculate_quote|file_claim,Seguros,1,regulado_incompleto,"calculate_quote no usa vehículo/conductores/coberturas/deducible/rating source","CTX SOR REG DATA"
seguros,salud,insurance,none,calculate_quote|file_claim,Seguros,1,regulado_incompleto,"Sin red/copago/carencia/elegibilidad; riesgo de pedir salud sensible por chat","CTX SOR REG PRIVACY"
servicios_hogar,plomeria,homeServices,none,create_service_request,Solicitudes,3,util_parcial,"Crea/lista/cancela solicitud; faltan fotos/dispatch/técnico/quote/capacidad y objeto activo","CTX SOR MEDIA"
servicios_hogar,electricidad,homeServices,none,create_service_request,Solicitudes,3,riesgo_parcial,"Happy path existe; gatillos eléctricos semánticos/dispatch/fotos/credenciales no","CTX SAFETY SOR MEDIA"
servicios_hogar,fumigacion,homeServices,none,create_service_request,Solicitudes,3,util_parcial,"Sin preparación/niños/mascotas/producto/licencia/recurrencia y objeto activo","CTX SOR REG DATA"
servicios_hogar,limpieza,homeServices,none,create_service_request,Solicitudes,3,util_parcial,"Sin área/equipo/horas/insumos/recurrencia/capacidad","CTX SOR DATA"
servicios_hogar,jardineria,homeServices,none,create_service_request,Solicitudes,3,util_parcial,"Sin área/frecuencia/residuos/equipo/route planning","CTX SOR DATA"
servicios_hogar,cerrajeria,homeServices,none,create_service_request,Solicitudes,2,riesgo,"Sin prueba de autorización/propiedad y política antiabuso; handoff necesario","CTX SAFETY AUTH SOR"
servicios_hogar,pintura,homeServices,none,create_service_request,Solicitudes,3,util_parcial,"Sin superficies/m2/preparación/material/fotos/equipo/cotización","CTX SOR MEDIA DATA"
pet_services,peluqueria,appointments|pets,appointment,create_appointment|register_pet,Agenda|Mascotas,2,estrecho,"Sin groomer/recurso/pelaje/nudos/temperamento/precio; pet no es objeto activo","CTX DATA SOR"
pet_services,guarderia,pets|petServices,none,none,Alquileres|Mascotas,1,callejon_sin_salida,"Disponibilidad consulta appointments mientras UI manual usa resource_rentals; no writer de boarding","STOP WRITE CTX SOR"
pet_services,hotel,pets|petServices,none,none,Alquileres|Mascotas,1,callejon_sin_salida,"Sin create_pet_boarding; disponibilidad/estancia y UI no comparten SoR","STOP WRITE CTX SOR"
pet_services,paseos,appointments|pets,appointment,create_appointment|register_pet,Agenda|Mascotas,1,incompleto,"Agenda no modela walker/ruta/acceso/frecuencia/GPS/parte de paseo","CTX SOR DATA"
pet_services,adiestramiento,appointments|pets,appointment,create_appointment|register_pet,Agenda|Mascotas,1,incompleto,"Sin evaluación/conducta/plan/sesiones/entrenador; herramientas de pet record no cierran servicio","CTX SOR DATA"
fotografia,estudio,photography,none,request_photo_quote|cancel_photo_session,Sesiones,1,roto,"Paquetes definidos no se siembran; no writer de sesión/reserva ni objetos activos/entregables","STOP DATA WRITE CTX"
fotografia,bodas,photography,none,request_photo_quote|cancel_photo_session,Sesiones,1,incompleto,"Sin contrato/anticipo/cronograma/entregables; política mínima inventada en prompt","PROMPT WRITE PAY SOR"
fotografia,eventos,photography,none,request_photo_quote|cancel_photo_session,Sesiones,1,incompleto,"Sin agenda de evento/equipo/aforo/licencia/entrega urgente","CTX WRITE SOR DATA"
fotografia,producto,photography,none,request_photo_quote|cancel_photo_session,Sesiones,1,incompleto,"Sin SKU/shot list/muestras/licencia/asset delivery/SLA","CTX WRITE SOR DATA"
fotografia,wedding_planner,photography,none,request_photo_quote|cancel_photo_session,Sesiones,0,producto_equivocado,"Planificación de boda no es fotografía; faltan vendors/checklist/timeline/RSVP/seating/pagos","STOP PROMPT WRITE SOR"
otro,(sin_subtipo),catalog,order_if_orders_toggle,place_catalog_order,Inventario|Pedidos,1,no_gobernado,"Asume que todo negocio vende productos; no descubre intents/objetos/SoR/riesgo antes de activar","STOP AUTH PROMPT DATA"
